,M1,M2,M3,M4,M5
Sampling1,0.9066666666666666,0.9833333333333333,0.9833333333333333,0.6766666666666666,0.86
Sampling2,0.9066666666666666,0.9633333333333334,0.9966666666666667,0.6966666666666667,0.84
Sampling3,0.9061135371179039,0.9781659388646288,0.9868995633187773,0.6768558951965066,0.8471615720524017
Sampling4,0.9133333333333333,0.96,0.98,0.6633333333333333,0.8366666666666667
Sampling5,0.9166666666666666,0.98,0.9833333333333333,0.6666666666666666,0.82
